hhid,quarter,cluster,personid,s1aq1,s1aq2,s1aq4y,s1aq6,s1aq7,s1aq9a,s1bq1,s2aq1,s2aq3,s2aq4,s2aq5,s2aq12,s2aq13,s3aq1,s3aq5,s3aq22a,s3aq23,s3bq1,s3bq2,s3bq3,s3bq4,s3cq6,s4aq1,region,BMI,pop_weight,hh_weight,econact,urbrur,Edu_Expensis,Training,Disability,Side_Earnings,Secured_Job,Unemployment,Health_issues,Health_hazards,Psychological_trauma,preventive_measures,Good_Health_practice,Health_control,Lterm_percept,Total_Income
107706,1,77,6,1,8,8,3,1,3,1,2,1,2,1,2,9,1,2,2,10,4, ,19.29999924,159.8999939,2,2,2,7.548495293,677.0314331,868.9393921,3,2,1392,0,2,0,2,0,0,0,0,0,0,0,0,1155.752212
117516,1,175,4,2,3,10,3,1,3,1,2,3,3,1,1,9,2,1,2,80,1,1,12,124,1,2,4,7.804370403,693.6519165,642.8240967,3,2,290,0,1,0,2,0,0,0,0,0,0,0,0,166.52
112818,1,128,5,2,3,6,2,1,1,1,2,3,1,1,3,9,2,1,2,10,1,1,19.04999924,155.5,1,2,3,7.878330231,1589.831665,2083.513184,3,1,800,0,1,0,2,0,0,0,0,0,0,0,0,667.8
111216,1,112,3,2,3,9,3,1,1,2,2,3,3,1,2,9,1,2,2,10,1,2,24,169,1,2,3,8.403067589,1540.083252,2083.513184,3,1,1500,0,1,0,2,0,0,0,0,0,0,0,0,747.37
118201,1,182,4,1,3,6,1,1,3,1,2,3,2,1,2,9,1,2,2,10,1,1,11,108,1,2,4,9.430727005,579.3713989,642.8240967,3,2,1370,0,1,0,2,0,0,0,0,0,0,0,0,100.87
109718,1,97,5,1,3,6,3,1,1,2,2,3,0,1,1,9,1,2,2,10,1,2,18,135,1,2,3,9.876543045,1319.963013,2083.513184,3,1,3000,0,1,0,2,0,0,0,0,0,0,0,0,300
110809,1,108,4,1,3,9,2,1,3,1,2,3,2,1,1,9,1,2,2,10,1,1,25,156,1,2,3,10.27284718,1847.644897,2083.513184,3,1,930,0,1,0,2,0,0,0,0,0,0,0,0,373.79
118111,1,181,6,1,3,8,3,1,3,1,2,3,0,1,3,9,1,2,2,10,1,1,26.95000076,159,1,2,4,10.66018009,247.3397675,642.8240967,1,2,650,0,1,0,2,0,0,0,0,0,0,0,0,75.1
113601,1,136,3,2,3,8,3,1,1,2,2,3,2,1,1,9,2,2,2,10,1,2,18,129,1,2,3,10.81665802,604.6904907,631.9230957,3,2,2000,0,1,0,2,0,0,0,0,0,0,0,0,1721.43
109915,1,99,5,2,3,4,3,1,1,1,2,2,1,1,1,9,1,2,2,10,4, ,16.10000038,122, , ,3,10.81698513,1922.302368,2083.513184, ,1,2300,0,2,0,2,0,0,0,0,0,0,0,0,300
107805,1,78,9,2,3,8,4,1,1,2,2,3,1,1,1,9,1,2,2,10,4, ,15.19999981,118.3000031,1,2,2,10.86110687,748.8408813,868.9393921,3,2,805,0,1,0,2,0,0,0,0,0,0,0,0,1341.59292
110802,1,108,4,1,3,8,1,1,2,1,2,3,2,2,1,9,1,2,2,10,1,1,28,158,1,2,3,11.21615124,1847.644897,2083.513184,3,1,1100,0,1,0,2,0,0,0,0,0,0,0,0,368.93
